feature,importance_mean,importance_std,val_imp_0,val_imp_1,val_imp_2,val_imp_3,val_imp_4
ciudad_Sopchoppy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Saint Johns,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Sewalls Pt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Satsuma,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Maitland,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Upper Captiva,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Newberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_LAKE WALES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_WEBSTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Babcock Ranch,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Key Colony Beach,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Lauderdale Lakes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_South Bay,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Coleman,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Matlacha,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Dowling Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Lower Matecumbe Key,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Long Key,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Salt Springs,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_FERNANDINA BEACH,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_SANFORD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_O Brien,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Caryville,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Masaryktown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Temple Terrace,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_PALM BAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Lithia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Greenville,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Middleburg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Cooper City,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Inverness,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Lloyd,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_And B Crestview,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Silver springs,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Lakeshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Pembroke Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Pace,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Molino,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_N Fort Myers,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Royal Palm Beach,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_G3dlfx Watersound,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tipo_vivienda_HOME_TYPE_UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Daytona Beach Shores,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Fort myers,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Cayo Costa,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Polk City,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Eagle Lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Shalimar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Virginia Gardens,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Atlantis,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Jacksonville,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Mulberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Saint Augustine Beach,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Port Salerno,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Grand Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Gibsonton,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Tavernier,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Augustine,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Big Pine,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Duette,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Lauderdale By the Sea,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Bristol,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Fern Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Pembroke Pines,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_New Port Richey,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Port Charlotte,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Enterprise,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Cross City,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Saint Marks,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Saint Lucie West,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Fort White,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Mount Dora,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Lake wales,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Port Labelle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Apopka,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Haverhill,0.0,0.0,0.0,0.0,0.0,0.0,0.0
